,
A,1670311518.361008
B,1670311519.3608518
C,1670311520.3599272
D,1670311521.3600945
E,1670311522.3597708
F,1670311523.3587582
 ,1670311524.357534
G,1670311525.356807
H,1670311526.3558638
I,1670311527.355033
J,1670311528.353876
K,1670311529.352909
L,1670311530.3520715
 ,1670311531.3508403
M,1670311532.3503516
N,1670311533.3492107
O,1670311534.3497689
P,1670311535.3502824
R,1670311536.3517094
S,1670311537.3525872
 ,1670311538.3517694
T,1670311539.351788
U,1670311540.351445
W,1670311541.3516364
Y,1670311542.3511312
Z,1670311543.3502617
 ,1670311544.3488724
A,1670311545.348263
B,1670311546.347518
A,1670311941.0326586
B,1670311942.0340521
C,1670311943.032788
D,1670311944.0319417
E,1670311945.0309982
F,1670311946.0295408
 ,1670311947.028482
G,1670311948.0294712
H,1670311949.0288322
I,1670311950.0278215
J,1670311951.026727
K,1670311952.0257025
L,1670311953.0250936
 ,1670311954.0245283
M,1670311955.0239692
N,1670311956.0236716
O,1670311957.0228045
P,1670311958.0217438
R,1670311959.0208607
S,1670311960.0198407
 ,1670311961.0191798
T,1670311962.0187032
U,1670311963.0181465
W,1670311964.0192225
Y,1670311965.0181212
Z,1670311966.0169423
 ,1670311967.0159743
A,1670311968.0154772
B,1670311969.0148106
C,1670311970.0140393
D,1670311971.013769
E,1670311972.012765
F,1670311973.0116606
 ,1670311974.0107205
G,1670311975.0101724
H,1670311976.010056
I,1670311977.0099425
J,1670311978.0087411
K,1670311979.0089118
L,1670311980.0081608
 ,1670311981.006588
M,1670311982.0057285
N,1670311983.0056126
O,1670311984.0061095
P,1670311985.0056963
R,1670311986.0064006
S,1670311987.0066698
 ,1670311988.006092
T,1670311989.004752
U,1670311990.0039575
